Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend Lift ticket window price (USD),Date statistics updated
Nub's Nob," Harbor Springs, Michigan ",Michigan," 1,338 ",911,427,248,53,10,123,$88," December 9, 2019[377] "
Otsego Club and Resort," Gaylord, Michigan ",Michigan," 1,380 "," 1,080 ",300,160,30,5,150,$65," December 9, 2019[378] "
Petoskey Winter Sports Park," Petoskey, Michigan ",Michigan,790,720,70,,,1,,Free," December 9, 2019[379] "
Pine Knob," Clarkston, Michigan ",Michigan," 1,308 "," 1,009 ",300,80,14,6,,$47," December 9, 2019[380] "
Pine Mountain Resort," Iron Mountain, Michigan ",Michigan," 1,650 "," 1,150 ",500,220,31,4,60,$49," December 9, 2019[381] "
Porcupine Mountains Ski Area," Ontonagon, Michigan ",Michigan," 1,360 ",720,640,200,19,3,,$45," December 9, 2019[382] "
Shanty Creek Resort," Bellaire, Michigan ",Michigan," 1,125 ",675,450,70,42,8,160,$74," December 9, 2019[383] "
Ski Brule," Stambaugh Township, Michigan ",Michigan," 1,861 "," 1,361 ",500,150,17,11,150,$55," December 9, 2019[384] "
Snow Snake Mountain Ski Area," Harrison, Michigan ",Michigan," 1,230 "," 1,020 ",210,40,12,6,,$35," December 9, 2019[385] "
Timber Ridge," Gobles, Michigan ",Michigan,850,650,200,50,16,8,,$45," December 9, 2019[386] "
Treetops Resort," Gaylord, Michigan ",Michigan," 1,345 "," 1,120 ",225,80,23,5,175,$43," December 9, 2019[387] "
Belleayre Ski Center," Kingston, New York ",New York (state)," 3,429 "," 2,024 "," 1,405 ",173,52,8,141,$80," December 10, 2019[388] "
Gore Mountain (ski resort)," Glens Falls, New York ",New York (state)," 3,600 "," 1,000 "," 2,600 ",428,109,15,150,$94," December 10, 2019[389] "
Holiday Valley (ski resort)," Buffalo, New York ",New York (state)," 2,250 "," 1,500 ",750,290,58,13,180,$85," December 10, 2019[390] "
Peek'n Peak," Erie, Pennsylvania ",New York (state)," 1,800 "," 1,400 ",400,130,27,9,105,$64," December 10, 2019[391] "
Catamount Ski Area," Great Barrington, Massachusetts ",New York (state)," 2,000 "," 1,000 "," 1,000 ",119,36,7,75,$30," December 10, 2019[392] "
Greek Peak Mountain Resort," Virgil, New York ",New York (state)," 2,200 "," 1,148 ",952,220,55,9,122,$79," December 10, 2019[393] "
Titus Mountain Family Ski Center," Malone, New York ",New York (state)," 2,025 ",825," 1,200 ",380,50,10,150,$49," December 10, 2019[394] "
Kissing Bridge," Glenwood, New York ",New York (state)," 1,700 "," 1,150 ",550,700,39,10,120,$65," December 10, 2019[395] "
Holiday Mountain," Monticello, New York ",New York (state)," 1,550 "," 1,150 ",400,37,9,4,50,$42," December 9, 2019[396] "
Bristol Mountain Ski Resort," Rochester, New York ",New York (state)," 2,150 "," 1,000 "," 1,150 ",160,35,6,130,$79," December 9, 2019[397] "
Buffalo Ski Center," Colden, New York ",New York (state)," 3,429 "," 2,025 ",500,225,43,6,,$50," December 9, 2019[398] "
Big Tupper Ski Area,Tupper Lake,New York (state),,,,,,,,Temporarily Closed," December 9, 2019[399] "
Hickory Ski Center,,New York (state),,,,,,,,Temporarily Closed," December 9, 2019[400] "
Four Season Ski Center," Fayetteville, New York ",New York (state),604,545,59,12,4,2,,$24," December 10, 2019[401] "
Maple Ski Ridge," Schenectady, New York ",New York (state)," 1,200 ",750,450,25,10,3,,$39," December 10, 2019[402] "
McCauley Mountain (New York)," Old Forge, New York ",New York (state)," 2,280 "," 1,647 ",633,70,21,5,200,$35," December 10, 2019[403] "
Mount Pisgah Ski Area," Saranac Lake, New York ",New York (state)," 2,060 "," 1,770 ",290,15,5,1,,$15," December 10, 2019[404] "
Beartown Ski Area," Plattsburgh (city), New York ",New York (state)," 1,000 ",850,150,32,9,2,,$22," December 10, 2019[405] "
Mount Peter," Warwick, New York ",New York (state)," 1,250 ",800,450,69,14,5,50,$62," December 10, 2019[406] "
Oak Mountain," Speculator, New York ",New York (state)," 2,400 "," 1,650 ",750,46,22,4,120,$40," December 10, 2019 "
Royal Mountain Ski Area," Johnstown (city), New York ",New York (state)," 1,800 "," 1,250 ",550,35,14,3,90,$45," December 10, 2019[407] "
Song Mountain Resort," Tully, New York ",New York (state)," 1,940 "," 1,240 ",700,93,24,5,125,$61," December 10, 2019[408] "
Snow Ridge Ski Resort," Turin, New York ",New York (state)," 2,000 "," 1,350 ",650,130,21,6,230,$48," December 10, 2019[409] "
Labrador Mountain," Truxton, New York ",New York (state)," 1,825 "," 1,125 ",700,250,23,4,125,$61," December 10, 2019[408] "
Swain Resort," Grove, New York ",New York (state)," 1,970 "," 1,320 ",650,130,35,5,120,$65," December 10, 2019[410] "
Dry Hill Ski Area," Watertown (city), New York ",New York (state),950,650,300,37,7,3,125,$38," December 10, 2019[411] "
Thunder Ridge Ski Area," Patterson, New York ",New York (state),1270,670,600,90,21,7,,$57," December 10, 2019 "
Tuxedo Ridge Ski Center,,New York (state),,,,,,,,Temporarily Closed," December 10, 2019[412] "
West Mountain (ski area)," Glens Falls, New York ",New York (state)," 1,470 ",460," 1,010 ",124,30,7,80,$79," December 10, 2019[413] "
Willard Mountain," Greenwich (town), New York ",New York (state)," 1,415 ",910,505,50,16,5,80,$47," December 10, 2019[414] "
Toggenburg Mountain Ski Center," Fabius, New York ",New York (state)," 2,000 "," 1,300 ",700,85,22,5,130,$57," December 10, 2019[415] "
Woods Valley Ski Area," Rome, New York ",New York (state)," 1,400 ",900,500,25,21,6,180,$39," December 10, 2019[416] "
Brantling Ski Slopes," Sodus, New York ",New York (state),850,600,250,20,10,5,110,$32," December 10, 2019[417] "
Plattekill Mountain," Roxbury, New York ",New York (state)," 3,500 "," 2,400 "," 1,100 ",110,38,4,175,$68," December 10, 2019[418] "
Bromley Mountain," Manchester, Vermont ",Vermont," 3,284 "," 1,950 "," 1,334 ",178,47,9,168,$92," December 10, 2019[419] "
Burke Mountain Ski Area," Lyndonville, Vermont ",Vermont," 3,267 "," 1,210 "," 2,011 ",178,50,6,217,$75," December 10, 2019[420] "
Cochran's Ski Area," Richmond, Vermont ",Vermont,950,600,350,15,8,3,150,$19," December 10, 2019[421] "
Hard'ack Recreation Area," St. Albans (city), Vermont ",Vermont,,,100,,,1,,Free," December 10, 2019[422] "
Living Memorial Park," Brattleboro, Vermont ",Vermont,1126,922,204,8,2,1,,$5," December 10, 2019[423] "
Lyndon Outing Club," Lyndon, Vermont ",Vermont," 1,247 ",814,433,32,10,2,,$15," December 10, 2019[424] "
Mad River Glen," Waitsfield, Vermont ",Vermont," 3,637 "," 1,600 "," 2,037 ",115,52,5,230,$79," December 10, 2019 "
Jay Peak Resort," Jay, Vermont ",Vermont," 3,968 "," 1,815 "," 2,153 ",385,79,9,350,$89," December 10, 2019[425] "
Magic Mountain Ski Area," Londonderry, Vermont ",Vermont," 2,850 "," 1,350 "," 1,500 ",205,51,6,150,$74," December 10, 2019[426] "
Middlebury College Snow Bowl," Hancock, Vermont ",Vermont," 2,720 "," 1,720 "," 1,000 ",110,17,3,250,$60," December 10, 2019[427] "
Pico Mountain," Killington, Vermont ",Vermont," 3,967 "," 2,000 "," 1,967 ",468,57,7,250,$85," December 10, 2019[428] "
Suicide Six," Pomfret, Vermont ",Vermont," 1,200 ",550,650,100,23,3,110,$79," December 10, 2019[429] "
Searchmont Resort," Sault Ste. Marie, Ontario ",Ontario,912,1470,700,100,21,4,132,$59," March 9, 2020[430][431] "
Chapman Ski Hill," Durango, Colorado ",Colorado," 7,297 "," 6,522 ",775,7,1,2,71,$15," June 21, 2020[432] "
Lee's Ski Hill," Ouray, Colorado ",Colorado," 7,867 "," 7,792 ",75,2,1,1,134,Free," June 21, 2020[433] "
Whitewater Ski Resort," Nelson, British Columbia ",British Columbia," 6,709 "," 4,665 "," 2,044 "," 1,180 ",46,4,472,,
Kimberley Alpine Resort," Kimberley, British Columbia ",British Columbia,,," 2,464 "," 1,800 ",,,160,,
Nakiska,,Alberta,,," 2,411 "," 1,021 ",,,100,,
Salmo Ski Area," Salmo, British Columbia ",British Columbia,,," 1,120 ",,,,120,,
Sasquatch Mountain Resort," Chehalis, British Columbia ",British Columbia,,," 1,100 ",300,,,,,
Mount Washington Alpine Resort," Courtenay, British Columbia ",British Columbia,,," 1,663 "," 1,700 ",,,432,,
Manning Park,,British Columbia,,," 1,417 ",140,,,296,,
Mount Baldy Ski Area," Oliver, British Columbia ",British Columbia,,," 1,293 ",600,,,256,,
Harper Mountain,Kamloops,British Columbia,,," 1,400 ",400,,,156,,
